File	Line	Description
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.data.numerics.ResamplingMode>' is referenced as base type of 'com.scichart.data.numerics.ResamplingMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.data.numerics.SearchMode>' is referenced as base type of 'com.scichart.data.numerics.SearchMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.drawing.common.PenLineCap>' is referenced as base type of 'com.scichart.drawing.common.PenLineCap' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.drawing.common.TextureMappingMode>' is referenced as base type of 'com.scichart.drawing.common.TextureMappingMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.drawing.common.TileMode>' is referenced as base type of 'com.scichart.drawing.common.TileMode' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.drawing.opengl.n>' is referenced as base type of 'com.scichart.drawing.opengl.n' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\BINDINGSGENERATOR		'java.lang.Enum<com.scichart.drawing.opengl.q>' is referenced as base type of 'com.scichart.drawing.opengl.q' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\BINDINGSGENERATOR		'java.util.ArrayList<E>' is referenced as base type of 'com.scichart.core.observable.ObservableCollection' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Observable.ObservableCollection.cs	262	'ObservableCollection.AddAll(ICollection)' hides inherited member 'AbstractCollection.AddAll(ICollection)'. To make the current member override that implementation add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Observable.ObservableCollection.cs	220	'ObservableCollection.AddAll(int, ICollection)' hides inherited member 'AbstractList.AddAll(int, ICollection)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Observable.ObservableCollection.cs	425	'ObservableCollection.RemoveAll(ICollection)' hides inherited member 'AbstractCollection.RemoveAll(ICollection)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Observable.ObservableCollection.cs	517	'ObservableCollection.RetainAll(ICollection)' hides inherited member 'AbstractCollection.RetainAll(ICollection)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.RangeBase.cs	348	'RangeBase.Clone()' hides inherited member 'Object.Clone()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Aa has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ab has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ac has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ad has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ae has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Af has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ag has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ah has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ai has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Aj has unknown base type com.scichart.data.numerics.pointresamplers.a.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\BINDINGSGENERATOR		Class SciChart.Data.Numerics.PointResamplers.NativePointResamplerFactory.Ak has unknown base type com.scichart.data.numerics.pointresamplers.a.
